file speaker set vowel vheight vlength coda nucl_dur coda_dur
01_EXIST_dodge_DVNA_PREP_place_SQDEM1_01 01 PAL a open v lateral 0.0759 0.0819
01_EXIST_dodge_DVNA_PREP_place_SQDEM1_02 01 PAL a open v lateral 0.0753 0.0926
01_EXIST_drum_DVNA_PREP_place_SQDEM1_01 01 LEN E halfopen v nasal 0.0955 0.0841
01_EXIST_drum_DVNA_PREP_place_SQDEM1_02 01 LEN E halfopen v nasal 0.0890 0.0639
01_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_01 01 THOL O halfopen v lateral 0.0905 0.0834
01_EXIST_eatunripegrain_DVNA_PREP_place_SQDEM1_02 01 THOL O halfopen v lateral 0.0836 0.0813
01_EXIST_herdaway_DVNAQPERTP_people_P_01 01 KOL O halfopen vvv lateral 0.1593 0.0946
01_EXIST_herdaway_DVNAQPERTP_people_P_02 01 KOL O halfopen vvv lateral 0.1652 0.0986
01_EXIST_herdaway_DVNA_PREP_place_SQDEM1_01 01 KOL O halfopen vv lateral 0.1225 0.0675
01_EXIST_herdaway_DVNA_PREP_place_SQDEM1_02 01 KOL O halfopen vv lateral 0.1204 0.0719
01_EXIST_kindofrodent_SQPERTP_people_P_01 01 DUP u closed vvv plosive 0.1528 0.1143
01_EXIST_kindofrodent_SQPERTP_people_P_03 01 DUP u closed vvv plosive 0.1472 0.0958
01_EXIST_kindofrodent_S_PREP_place_SQDEM1_01 01 DUP u closed vv plosive 0.1052 0.0730
01_EXIST_kindofrodent_S_PREP_place_SQDEM1_02 01 DUP u closed vv plosive 0.1018 0.0702
01_EXIST_messup_DVNA_PREP_place_SQDEM1_01 01 DUP u closed v plosive 0.0741 0.1241
01_EXIST_messup_DVNA_PREP_place_SQDEM1_02 01 DUP u closed v plosive 0.0810 0.1073
01_EXIST_messup_DVNA_PREP_place_SQDEM1_03 01 DUP u closed v plosive 0.0726 0.1230
01_EXIST_navel_SQPERTP_people_P_01 01 GUT u closed vvv plosive 0.1589 0.0758
01_EXIST_navel_SQPERTP_people_P_02 01 GUT u closed vvv plosive 0.1514 0.0900
01_EXIST_navel_S_PREP_place_SQDEM1_01 01 GUT u closed vv plosive 0.1042 0.0604
01_EXIST_navel_S_PREP_place_SQDEM1_02 01 GUT u closed vv plosive 0.1070 0.0733
01_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_01 01 KEL E halfopen v lateral 0.0817 0.0904
01_EXIST_peelwteeth_DVNA_PREP_place_SQDEM1_02 01 KEL E halfopen v lateral 0.0856 0.0810
01_EXIST_pray_DVNAQPERTP_people_P_01 01 LAM a open vvv nasal 0.1638 0.1324
01_EXIST_pray_DVNAQPERTP_people_P_02 01 LAM a open vvv nasal 0.1533 0.1134
01_EXIST_pray_DVNAQPERTP_people_P_03 01 LAM a open vvv nasal 0.1556 0.1001
01_EXIST_pray_DVNA_PREP_place_SQDEM1_01 01 LAM a open v nasal 0.0742 0.1084
01_EXIST_pray_DVNA_PREP_place_SQDEM1_02 01 LAM a open v nasal 0.0846 0.0888
01_EXIST_prayer_S_PREP_place_SQDEM1_01 01 LAM a open vv nasal 0.1132 0.0915
